"Date","Time","Millisecond","Livello pozzo 1","Livello pozzo 2","Livello pozzo 3","Livello pozzo 4","Livello pozzo 5","Livello pozzo 6","Livello pozzo 7","Livello pozzo 8","Livello pozzo 9","Livello pozzo 10"
"2015/11/26","00:00:00","820","95","86","86","82","77","73","73","77","77","89"
"2015/11/26","00:00:01","840","95","86","86","82","77","73","73","77","77","89"
"2015/11/26","00:00:02","860","95","86","86","82","77","73","73","77","77","89"
"2015/11/26","00:00:03","860","95","86","86","82","77","73","73","77","77","89"
"2015/11/26","00:00:04","840","95","86","86","82","77","73","73","77","77","89"
"2015/11/26","00:00:05","860","95","86","86","82","77","73","73","77","77","89"
"2015/11/26","00:00:06","860","95","86","86","82","77","73","73","77","77","89"
"2015/11/26","00:00:07","840","95","86","86","82","77","73","73","77","77","89"
"2015/11/26","00:00:08","830","95","86","86","82","77","73","73","77","77","89"
"2015/11/26","00:00:09","830","95","86","86","82","77","73","73","77","77","89"
"2015/11/26","00:00:10","830","95","86","86","82","77","73","73","77","77","89"
"2015/11/26","00:00:11","840","95","86","86","82","77","73","73","77","77","89"
"2015/11/26","00:00:12","830","95","86","86","82","77","73","73","77","77","89"
"2015/11/26","00:00:13","810","95","86","86","82","77","73","73","77","77","89"
"2015/11/26","00:00:14","840","95","86","86","82","77","73","73","77","77","89"
"2015/11/26","00:00:15","840","95","86","86","82","77","73","73","77","77","89"
"2015/11/26","00:00:16","850","95","86","86","82","77","73","73","77","77","89"
"2015/11/26","00:00:17","850","95","86","86","82","77","73","73","77","77","89"
"2015/11/26","00:00:18","850","95","86","86","82","77","73","73","77","77","89"
"2015/11/26","00:00:19","850","95","86","86","82","77","73","73","77","77","89"
"2015/11/26","00:00:20","830","95","86","86","82","77","73","73","77","77","89"
"2015/11/26","00:00:21","810","96","87","85","83","76","74","74","76","78","88"
"2015/11/26","00:00:22","830","96","87","85","83","76","74","74","76","78","88"
"2015/11/26","00:00:23","830","96","87","85","83","76","74","74","76","78","88"
"2015/11/26","00:00:24","830","96","87","85","83","76","74","74","76","78","88"
"2015/11/26","00:00:25","850","96","87","85","83","76","74","74","76","78","88"
"2015/11/26","00:00:26","830","96","87","85","83","76","74","74","76","78","88"
"2015/11/26","00:00:27","830","96","87","85","83","76","74","74","76","78","88"
"2015/11/26","00:00:28","830","96","87","85","83","76","74","74","76","78","88"
"2015/11/26","00:00:29","830","96","87","85","83","76","74","74","76","78","88"
"2015/11/26","00:00:30","830","96","87","85","83","76","74","74","76","78","88"
"2015/11/26","00:00:31","830","96","87","85","83","76","74","74","76","78","88"
"2015/11/26","00:00:32","850","96","87","85","83","76","74","74","76","78","88"
"2015/11/26","00:00:33","850","96","87","85","83","76","74","74","76","78","88"
"2015/11/26","00:00:34","830","96","87","85","83","76","74","74","76","78","88"
"2015/11/26","00:00:35","840","96","87","85","83","76","74","74","76","78","88"
"2015/11/26","00:00:36","840","96","87","85","83","76","74","74","76","78","88"
"2015/11/26","00:00:37","840","96","87","85","83","76","74","74","76","78","88"
"2015/11/26","00:00:38","840","96","87","85","83","76","74","74","76","78","88"
"2015/11/26","00:00:39","840","96","87","85","83","76","74","74","76","78","88"
"2015/11/26","00:00:40","840","96","87","85","83","76","74","74","76","78","88"
"2015/11/26","00:00:41","840","96","87","85","83","76","74","74","76","78","88"
"2015/11/26","00:00:42","840","96","87","85","83","76","74","74","76","78","88"
"2015/11/26","00:00:43","820","96","87","85","83","76","74","74","76","78","88"
"2015/11/26","00:00:44","820","96","87","85","83","76","74","74","76","78","88"
"2015/11/26","00:00:45","820","96","87","85","83","76","74","74","76","78","88"
"2015/11/26","00:00:46","840","96","87","85","83","76","74","74","76","78","88"
"2015/11/26","00:00:47","840","96","87","85","83","76","74","74","76","78","88"
"2015/11/26","00:00:48","840","96","87","85","83","76","74","74","76","78","88"
"2015/11/26","00:00:49","820","96","87","85","83","76","74","74","76","78","88"
"2015/11/26","00:00:50","840","96","87","85","83","76","74","74","76","78","88"
"2015/11/26","00:00:51","840","96","87","85","83","76","74","74","76","78","88"
"2015/11/26","00:00:52","820","96","87","85","83","76","74","74","76","78","88"
"2015/11/26","00:00:53","820","96","87","85","83","76","74","74","76","78","88"
"2015/11/26","00:00:54","830","96","87","85","83","76","74","74","76","78","88"
"2015/11/26","00:00:55","830","96","87","85","83","76","74","74","76","78","88"
"2015/11/26","00:00:56","830","96","87","85","83","76","74","74","76","78","88"
"2015/11/26","00:00:57","840","96","87","85","83","76","74","74","76","78","88"
